QRA,LRA,CRA,NWR,ATR,ETR,FAT,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,STF,STD,DER,LER,TFD
1.873230034,2.037014036,0.987796547,3.842541023,0.368547571,0.423256681,0.461266523,1.956181402,0.317602503,0.168189487,0.117731862,0.049830797,0.043389792,0.188401531,0.080403963,0.48492378,0.615744392,0.715541089,0.148445179,0.129257523,0.643895882
1.191285945,1.465454998,0.023826715,2.55501471,0.301098721,0.504888645,0.548227895,0.811518858,0.332181887,0.170330361,0.188209186,0.095024681,0.056669545,0.371031083,0.187088005,0.016258919,0.16993066,0.627264493,0.676820954,0.403633407,0.282062094
2.182841497,2.221326437,0.00486766,1.464939594,0.141368493,0.184042936,0.212567546,0.805450935,0.233378677,-0.004846115,-0.004250978,-0.000782362,-0.000600954,0.175514717,0.017325207,0.002191331,0.32329463,0.340763011,0.301866717,0.231872213,0.982531619
2.32407285,2.946073247,0.581642097,1.951678513,0.389356962,0.85587451,0.558540604,1.289210764,0.276703972,0.118838549,0.083427612,0.071403566,0.032483121,0.302011876,0.211128626,0.197429612,0.113660876,0.188071327,1.19817441,0.545077044,0.186119374
0.541819596,0.84161418,0.096961046,-14.65087615,0.401751667,0.954858969,0.524999658,2.757190993,0.40166566,0.304635568,0.208918671,0.199487867,0.083933424,0.145710496,0.356213798,0.115208428,0.057407855,0.298887417,1.376739286,0.579255493,0.150419956
0.632990077,1.106164186,0.200429791,29.38391523,0.867212747,1.235794886,1.266045434,2.820123343,0.289045054,0.161760558,0.111597587,0.137911727,0.09677885,0.307508801,0.42776119,0.181193528,0.367742543,0.93207329,0.425019283,0.29825511,0.435682695
0.888825034,1.771217233,0.149067517,4.528304608,0.938035912,1.668071617,4.167190196,1.971698607,0.35613806,0.138001508,0.096267159,0.160580516,0.090302053,0.475750152,0.498184064,0.084161058,0.330507896,0.613730487,0.778259869,0.437652495,0.330507896
2.485820001,2.516319401,0.172030675,1.215522823,0.073751543,0.130682693,0.508413064,0.732466967,0.966865359,0.591174937,0.584810439,0.076424603,0.043130672,0.10068924,0.01212064,0.068365993,0.066967091,0.091851323,0.77193165,0.435644146,0.1286228
7.170096022,7.170096022,5.735939643,0.743219209,0.018776047,0.025309364,34.1122449,0.639563803,0.807209094,5.713879749,3.911905474,0.09900784,0.07345012,0.029357582,0,0.799980869,0.01585074,0.015861619,0.347956437,0.258135538,1
2.41441561,2.694118651,1.400748087,3.674597178,0.719834405,1.910007404,47.81284591,2.310664236,0.19174843,0.055775809,0.03586235,0.068497355,0.025814954,0.311527047,0.103819867,0.519928136,0.178035265,0.185568389,1.653398322,0.623124809,0.19704798
0.835237247,1.713894189,0.118185416,6.082152481,1.185958812,2.093744185,2.457800411,2.533419707,0.261639666,0.121397909,0.082637598,0.173021991,0.098004788,0.468125676,0.512666971,0.068957242,0.536888632,0.629968586,0.765444266,0.433570337,0.622211181
2.954737414,3.57512753,0.477504599,1.861820927,0.82775187,1.071128476,2.272589436,1.341050434,0.253526624,0.150213451,0.10224919,0.109522019,0.084636958,0.617241417,0.173529506,0.133562956,0.642499146,0.759847179,0.29402121,0.22721514,0.882651967
37.07969999,37.07969999,13.30965136,0.038933498,0.021724315,0.022127724,24.45241511,0.037883503,-0.07694113,2.400156464,2.359690984,0.05221459,0.05126267,0.573450533,0,0.358947116,0.834440327,0.848283577,0.01856989,0.018231344,0.919271015
0.621510051,0.662045836,0.088553506,-7.455054459,0.457780376,0.647326657,0.522222985,3.805577445,0.171966954,0.094001699,0.065720169,0.042542417,0.030085404,0.120291962,0.061228064,0.133757364,0.436622107,0.620521411,0.414055062,0.29281396,0.553021096
